idx,DI,C1_enriched,AU_CO_enriched,found
1145,10.1145/3613904.3642198,"[MooreDE, Dartmouth College] [MooreS, Stony Brook University] [IreenB, Dartmouth College] [IskandarWP, MiraCosta College] [ArtazyanG] [MurnaneEL, Dartmouth College]",US,True
1146,10.1145/3613904.3642229,"[ChenL, Zhejiang University] [XiaoS, Zhejiang University] [ChenY, Zhejiang University] [SongY, Zhejiang University] [WuR, Beijing Normal University] [SunL, Zhejiang University]",CN,True
1147,10.1145/3613904.3642592,"[TanM, Stanford University] [SubramonyamH, Stanford University]",US,True
1148,10.1145/3613904.3642596,"[KabirS, Purdue University West Lafayette] [Udo-ImehDN, Purdue University West Lafayette] [KouB, Purdue University West Lafayette] [ZhangT, Purdue University West Lafayette]",US,True
1149,10.1145/3613904.3642706,"[NguyenS, Wellesley College] [BabeHM, Oberlin College] [ZiY, Northeastern University] [GuhaA, Northeastern University] [AndersonCJ, Wellesley College] [FeldmanMQ, Oberlin College]",US,True
1150,10.1145/3613904.3642773,"[KazemitabaarM, University of Toronto] [YeR, University of Toronto] [WangX, University of Toronto] [HenleyAZ, Microsoft (United States)] [DennyP, University of Auckland] [CraigM, University of Toronto] [GrossmanT, University of Toronto]",CA;US;NZ,True
1151,10.1145/3613904.3642785,"[ParkH, Seoul National University] [AhnD, University of Georgia]",KR;US,True
1152,10.1145/3613904.3642902,"[TankelevitchL, Microsoft Research (United Kingdom)] [KewenigV, University College London] [SimkuteA, University of Edinburgh] [ScottAE, University College London] [SarkarA, Microsoft Research (United Kingdom)] [SellenA, Microsoft Research (United Kingdom)] [RintelS, Microsoft Research (United Kingdom)]",GB,True
1153,10.1145/3614419.3644014,"[WuC, Pennsylvania State University] [WangX, Pennsylvania State University] [CarrollJM, Pennsylvania State University] [RajtmajerS, Pennsylvania State University]",US,True
1154,10.1145/3615886.3627745,"[MooneyP, National University of Ireland, Maynooth] [CuiW, Florida International University] [GuanB, Florida International University] [JuhászL, Florida International University]",IE;US,True
1155,10.1145/3617367,"[PratherJ, Abilene Christian University] [ReevesBN, Abilene Christian University] [DennyP, University of Auckland] [BeckerBA, University College Dublin] [LeinonenJ, University of Auckland] [Luxton-ReillyA, University of Auckland] [PowellG, Abilene Christian University] [Finnie-AnsleyJ, University of Auckland] [SantosEA, University College Dublin]",US;NZ;IE,True
1156,10.1145/3622758.3622882,"[SarkarA, University of Cambridge; Microsoft Research (United Kingdom); University College London]",GB,True
1157,10.1145/3622780.3623648,"[KuramitsuK, Japan Women's University] [ObaraY, Japan Women's University] [SatoM, Japan Women's University] [ObaraM, Japan Women's University]",JP,True
1158,10.1145/3623272,"[WongGKW, University of Hong Kong] [HuenJHM]",HK,True
1159,10.1145/3623762.3633494,"[CuttsQ, University of Glasgow] [KalliaM, University of Glasgow] [AndersonR, University of Washington] [CrickT, Swansea University] [DevlinM, Newcastle University] [FarghallyMF, Virginia Tech] [MiroloC, University of Udine] [RundeRK, University of Oslo] [SeppäläO, Aalto University] [Urquiza‐FuentesJ, Universidad Rey Juan Carlos] [VahrenholdJ, University of Münster]",GB;US;IT;NO;FI;ES;DE,True
1160,10.1145/3623762.3633499,"[PratherJ, Abilene Christian University] [DennyP, University of Auckland] [LeinonenJ, University of Auckland] [BeckerBA, University College Dublin] [AlbluwiI, Princess Sumaya University for Technology] [CraigM, University of Toronto] [KeuningH, Utrecht University] [KieslerN, DIPF | Leibniz Institute for Research and Information in Education] [KohnT, Karlsruhe Institute of Technology] [Luxton-ReillyA, University of Auckland] [MacNeilS, Temple University] [PetersenA, University of Toronto] [PettitR, University of Virginia] [ReevesBN, Abilene Christian University] [ŠavelkaJ, Carnegie Mellon University]",US;NZ;IE;JO;CA;NL;DE,True
1161,10.1145/3624720,"[DennyP, University of Auckland] [PratherJ, Abilene Christian University] [BeckerBA, University College Dublin] [Finnie-AnsleyJ, University of Auckland] [HellasA, Aalto University] [LeinonenJ, University of Auckland] [Luxton-ReillyA, University of Auckland] [ReevesBN, Abilene Christian University] [SantosEA, University College Dublin] [SarsaS, Aalto University]",NZ;US;IE;FI,True
1162,10.1145/3625704.3625732,"[YangJ, Tianjin University]",CN,True
1163,10.1145/3625704.3625744,"[ChanVKY, Macao Polytechnic University]",MO,True
1164,10.1145/3625704.3625748,"[LimJ, Yonsei University] [ParkSK, Yonsei University] [AhnH, Yonsei University] [LeeBG, Yonsei University]",KR,True
1165,10.1145/3626252.3630753,"[LiutM, University of Toronto] [LyA, University of Toronto] [XuJJ, University of Toronto] [BansonJ, Western Washington University] [VrbikP, The University of Queensland] [HardinCD, Western Washington University]",CA;US;AU,True
1166,10.1145/3626252.3630755,"[ShahA, University of California San Diego] [YuJ, University of California San Diego] [TongT, University of California San Diego] [RajAGS, University of California San Diego]",US,True
1167,10.1145/3626252.3630761,"[MasonR, Southern Cross University] [SimonNP] [BeckerBA, University College Dublin] [CrickT, Swansea University] [DavenportJH, University of Bath]",AU;IE;GB,True
1168,10.1145/3626252.3630773,"[WoodrowJ, Stanford University] [MalikA, Stanford University] [PiechC, Stanford University]",US,True
1169,10.1145/3626252.3630774,"[MinagarS, Monash University] [SakzadA, Monash University] [TackG, Monash University] [RudolphC, Monash University] [SheardJ, Monash University]",AU,True
1170,10.1145/3626252.3630792,"[VanDeGriftT, University of Portland]",US,True
1171,10.1145/3626252.3630793,"[MackNA, Morgan State University] [AdelekeMB, Morgan State University] [BallouE, Morgan State University] [DavisD, Morgan State University] [IngramV, Morgan State University] [CoxK, Morgan State University]",US,True
