Occurrences,Words,Cluster,Color,Cluster_Label,Cluster_Frequency,Cluster_PageRank,Score,Freq,btw_centrality,clos_centrality,pagerank_centrality
14,k-12 education,2,#377EB880,large language models,0.001923606191410262,0.009708737864077669,0.5816172027743965,1417,79.2219370286452,0.002053388090349076,0.001923606191410262
14,large language model (llm),2,#377EB880,large language models,0.002169108635758089,0.009708737864077669,0.5938923249917879,1417,68.42593450324955,0.0020408163265306124,0.002169108635758089
13,retrieval augmented generation,2,#377EB880,large language models,0.0028241293665550414,0.009015256588072122,0.5919692977313582,1417,96.35314466959221,0.002074688796680498,0.0028241293665550414
13,e-learning,2,#377EB880,large language models,0.0025405084932517722,0.009015256588072122,0.5777882540661947,1417,140.47796093641176,0.0021321961620469083,0.0025405084932517722
12,educational assessment,2,#377EB880,large language models,0.0017661158186667734,0.008321775312066574,0.5043945565366674,1417,46.80674108046934,0.001953125,0.0017661158186667734
10,question generation,2,#377EB880,large language models,0.0024594523993937594,0.006934812760055479,0.4697132579724619,1417,138.44551563687313,0.002004008016032064,0.0024594523993937594
10,bloom's taxonomy,2,#377EB880,large language models,0.0017744638835007654,0.006934812760055479,0.43546383217781226,1417,66.52922910747257,0.001949317738791423,0.0017744638835007654
10,formative assessment,2,#377EB880,large language models,0.0016213273813774633,0.006934812760055479,0.4278070070716471,1417,31.367881198255184,0.0017921146953405018,0.0016213273813774633
10,responsible ai,2,#377EB880,large language models,0.0020490892412308413,0.006934812760055479,0.449195100064316,1417,89.07961071907309,0.002044989775051125,0.0020490892412308413
10,retrieval-augmented generation (rag),2,#377EB880,large language models,0.001533380081750355,0.006934812760055479,0.42340964209029175,1417,16.0678174102882,0.001851851851851852,0.001533380081750355
9,aigc,2,#377EB880,large language models,0.0011019518558567515,0.0062413314840499305,0.3671641669953341,1417,10.707942861178147,0.001851851851851852,0.0011019518558567515
9,data science,2,#377EB880,large language models,0.001439797327361716,0.0062413314840499305,0.38405644057058236,1417,20.848385935133454,0.001953125,0.001439797327361716
9,fine-tuning,2,#377EB880,large language models,0.0016503174251799055,0.0062413314840499305,0.39458244546149185,1417,26.366274337864596,0.0018587360594795538,0.0016503174251799055
9,knowledge graphs,2,#377EB880,large language models,0.0015968892506923714,0.0062413314840499305,0.3919110367371151,1417,15.96613197199918,0.0018083182640144665,0.0015968892506923714
9,rag,2,#377EB880,large language models,0.0016871744215983995,0.0062413314840499305,0.3964252952824165,1417,64.7645945601968,0.001941747572815534,0.0016871744215983995
9,systematic review,2,#377EB880,large language models,0.0014834345461491886,0.0062413314840499305,0.386238301509956,1417,9.750566944247087,0.0019267822736030828,0.0014834345461491886
9,teacher professional development,2,#377EB880,large language models,0.001267558636063083,0.0062413314840499305,0.3754445060056507,1417,25.813756136828705,0.0018726591760299626,0.001267558636063083
7,agentic ai,2,#377EB880,large language models,0.001620365680391589,0.0048543689320388345,0.3237367306215212,1417,49.7845245656521,0.00196078431372549,0.001620365680391589
8,case study,2,#377EB880,large language models,0.0014076998197534898,0.005547850208044383,0.34777750138989366,1417,51.964153219437776,0.0019230769230769232,0.0014076998197534898
8,educational data mining,2,#377EB880,large language models,0.0014363483501830144,0.005547850208044383,0.34920992791136984,1417,15.130712641923331,0.0018115942028985507,0.0014363483501830144
8,generative ai in education,2,#377EB880,large language models,0.0011957797689342616,0.005547850208044383,0.3371814988489322,1417,20.766938145622365,0.0019157088122605363,0.0011957797689342616
8,human-computer interaction,2,#377EB880,large language models,0.0015597246903349792,0.005547850208044383,0.35537874491896815,1417,17.01334171042964,0.0018796992481203006,0.0015597246903349792
8,natural language processing (nlp),2,#377EB880,large language models,0.0015545051134156851,0.005547850208044383,0.3551177660730034,1417,43.69132711000209,0.0019305019305019305,0.0015545051134156851
8,nlp,2,#377EB880,large language models,0.0016758037358363934,0.005547850208044383,0.36118269719403884,1417,36.63481356567323,0.001953125,0.0016758037358363934
8,student assessment,2,#377EB880,large language models,0.001554031996089528,0.005547850208044383,0.3550941102066955,1417,44.68904775795231,0.0019455252918287938,0.001554031996089528
7,automated essay scoring,2,#377EB880,large language models,0.0011744157745757126,0.0048543689320388345,0.30143923533072736,1417,5.73891580976013,0.0017953321364452424,0.0011744157745757126
7,educational ai,2,#377EB880,large language models,0.0012955896854839667,0.0048543689320388345,0.30749793087614,1417,8.744217152407234,0.001763668430335097,0.0012955896854839667
7,explainable ai,2,#377EB880,large language models,0.0016291370048206542,0.0048543689320388345,0.32417529684297447,1417,55.74233489451324,0.0019723865877712033,0.0016291370048206542
7,game-based learning,2,#377EB880,large language models,0.0013589054642624862,0.0048543689320388345,0.3106637198150661,1417,26.805568415252313,0.0019569471624266144,0.0013589054642624862
